                                  SITUATIA MATERIALELOR

                                                                                                             
ADM PIETELOR PITESTI -  -   -  -   -                                                                         

CONTUL: 16=600.02.05.24.05       RECHIZITE DE BIROU SI FURNITURI STOCABILE           Uz/St 0=UZ          GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    MEDIU      | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |
|     |                                          |  FISA  | MASURA   |       |   PONDERAT    |           |               |   |St|  |  |  |  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|   85| BON VAL.FIXA 2000LEI                     |   10974|   buc    |  NOU  |      27900.00 |    437.000|      12192300 | 16|UZ| 1|36| 3| 1|
|   86| BON VAL.FIXA 5000LEI                     |   10975|   buc    |  NOU  |      27900.00 |    202.000|       5635800 | 16|UZ| 1|36| 3| 1|
|   87| BON VAL.FIXA 75000LEI M.A                |   10976|   buc    |  NOU  |      27900.00 |    151.000|       4212900 | 16|UZ| 1|36| 3| 1|
|   88| BON VAL.FIXA 10000LEI                    |   10977|   buc    |  NOU  |      27900.00 |    157.000|       4380300 | 16|UZ| 1|36| 3| 1|
|   89| BON VAL.FIXA 100000LEI                   |   10978|   buc    |  NOU  |      27900.00 |     29.000|        809100 | 16|UZ| 1|36| 3| 1|
|   90| BON VAL FIXA 20000LEI TIRG               |   10979|   buc    |  NOU  |      27900.00 |      6.000|        167400 | 16|UZ| 1|36| 3| 1|
|   91| BON VAL.FIXA 50000                       |   10980|   buc    |  NOU  |      27900.00 |     54.000|       1506600 | 16|UZ| 1|36| 3| 1|
|   92| BON VAL.FIXA 20000LEI PIATA              |   10981|   buc    |  NOU  |      27900.00 |     42.000|       1171800 | 16|UZ| 1|36| 3| 1|
|   93| BON VAL.FIXA 75000LEI A.TURISM           |   10982|   buc    |  NOU  |      27900.00 |    101.000|       2817900 | 16|UZ| 1|36| 3| 1|
|   94| DISPOZITIE CASERIE                       |   10986|   car    |  NOU  |       2941.20 |      5.000|         14706 | 16|UZ| 1|36| 3| 1|
|   95| CLEME  16                                |   10987|   buc    |  NOU  |       6723.00 |     80.000|        537840 | 16|UZ| 1|50| 3| 1|
|   96| CLEMA D20                                |   12019|   buc    |  NOU  |       7563.00 |     20.000|        151260 | 16|UZ| 1|50| 3| 1|
|   97| FURTUN INALTA PRESIUNE                   |   20021|   buc    |  NOU  |     311000.00 |      2.000|        622000 | 16|UZ| 1|50| 3| 1|
|   98| VAS WC                                   |   20131|   buc    |  NOU  |     754622.00 |      1.000|        754622 | 16|UZ| 1|50| 3| 1|
|   99| DISCHETE SONY                            |   20167|   buc    |  NOU  |     101268.00 |      5.000|        506340 | 16|UZ| 1|56| 3| 1|
|  100| VAL TIP CARNETE BCF                      |   30001|   buc    |  NOU  |        315.75 |     50.000|         15788 | 16|UZ| 1|36| 3| 1|
|  101| VAL TIP CARNETE BCF                      |   30001|   buc    |  NOU  |        315.75 |    123.000|         38837 | 16|UZ| 1|56| 3| 1|
|  102| ANTIGEL                                  |   30046|  litri   |  NOU  |      48739.00 |      5.000|        243695 | 16|UZ| 1|50| 3| 1|
|  103| BROASCA USA                              |   30073|   buc    |  NOU  |      67227.00 |      1.000|         67227 | 16|UZ| 1|50| 3| 1|
|  104| BALAMALE                                 |   30098|   buc    |  NOU  |      33613.00 |      8.000|        268904 | 16|UZ| 1|50| 3| 1|
|  105| ULEI HIDRAULIC 46A                       |   30197|  litri   |  NOU  |     584034.00 |      1.000|        584034 | 16|UZ| 1|50| 3| 1|
|  106| ULEI MOTOR  DIESEL M30S2 20              |   30214|    b     |  NOU  |     575631.00 |      2.000|       1151262 | 16|UZ| 1|50| 3| 1|
|  107| ULEI TRANSMISIE                          |   30215|    b     |  NOU  |     596639.00 |      1.000|        596639 | 16|UZ| 1|50| 3| 1|
|  108| BENZINA BCF 200000 LEI/FILA              |   30500|   buc    |  NOU  |     165849.08 |     25.000|       4146227 | 91|UZ| 1|56| 3| 1|
|  109| MOTORINA BON VAL FIXA 200000             |   30502|   buc    |  NOU  |     165477.20 |     10.000|       1654772 | 92|UZ| 1|56| 3| 1|
