                                                                          BALANTA ANALITICA
                                                           A MATERIALELOR PENTRU PERIOADA  01/01/2016 - 22/06/2016


                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|   87|   30539| CORP STM 2X36                           | buc        | NOU     |    70    |    0     |    0     |    70    |      34516929 |               |               |      34516929 |
|   88|   30540| CORP IL.FIRA 2X8                        | buc        | NOU     |    4     |    0     |    0     |    4     |       3099479 |               |               |       3099479 |
|   89|   30541| CORP IL FIRA 4X18                       | buc        | NOU     |    5     |    0     |    0     |    5     |       2817708 |               |               |       2817708 |
|   90|   30542| SUPER KILLER                            | buc        | NOU     |    2     |    0     |    0     |    2     |       2012648 |               |               |       2012648 |
|   91|   30543| STARTER 4-20W                           | buc        | NOU     |    28    |    0     |    0     |    28    |        197240 |               |               |        197240 |
|   92|   30544| STARTER 4-80W                           | buc        | NOU     |    10    |    0     |    0     |    10    |         70443 |               |               |         70443 |
|   93|   30545| BEC INCANDESCENT                        | buc        | NOU     |   443    |    0     |    0     |   443    |       2964583 |               |               |       2964583 |
|   94|   30546| USA DALLAS                              | buc        | NOU     |    20    |    0     |    0     |    20    |      50718753 |               |               |      50718753 |
|   95|   30548| ELECTROZI SUPERTIT 2,5                  | kg         | NOU     |    40    |    0     |    0     |    40    |       2479583 |               |               |       2479583 |
|   96|   30613| VOPSEA SANITAS                          | buc        | NOU     |    8     |    0     |    0     |    8     |        390692 |               |               |        390692 |
|   97|   30625| VOPSEA LAVABILA 1/1                     | buc        | NOU     |    1     |    0     |    0     |    1     |         36701 |               |               |         36701 |
