                                                                          BALANTA ANALITICA
                                                          A MIJLOACELOR FIXE PENTRU PERIOADA  01/12/2012 - 31/12/2012


 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|   72|  300109| COMPUTER ALPIS INTEL CORE 2 QUAD        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3857.00 |          0.00 |          0.00 |       3857.00 |
|   73|  300110| COMPUTER ALPIS INTEL CORE 2 QUAD/1      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3857.00 |          0.00 |          0.00 |       3857.00 |
|   74|  300111| COMPUTER ALPIS INTEL CORE 2 QUAD/2      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3857.00 |          0.00 |          0.00 |       3857.00 |
|   75|  300112| COMPUTER ALPIS INTEL CORE 2 QUAD/3      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3857.00 |          0.00 |          0.00 |       3857.00 |
|   76|  300113| COMPUTER ALPIS INTEL CORE 2 QUAD/4      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3857.00 |          0.00 |          0.00 |       3857.00 |
|   77|  300114| CALCULATOR OFFICE POWER TIP OP 31       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   78|  300115| CALCULATOR OFFICE POWER TIP OP-31/1     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   79|  300116| CALCULATOR OFFICE POWER TIP OP-31/2     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   80|  300117| CALCULATOR OFFICE POWER TIP OP-31/3     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   81|  300118| CALCULATOR OFFICE POWER TIP OP-31/4     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   82|  300119| CALCULATOR OFFICE POWER TIP OP-31/5     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   83|  300120| CALCULATOR OFFICE POWER TIP OP-31/6     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   84|  300121| CALCULATOR OFFICE POWER TIP OP-31/7     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   85|  300122| CALCULATOR OFFICE POWER TIP OP-31/9     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   86|  300123| CALCULATOR OFFICE POWER TIP OP-31/8     | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   87|  300124| CALCULATOR OFFICE POWER TIP OP-31/10    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   88|  300125| CALCULATOR OFFICE POWER TIP OP-31/12    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   89|  300126| CALCULATOR OFFICE POWER TIP OP-31/11    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   90|  300127| CALCULATOR OFFICE POWER TIP OP-31/13    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   91|  300128| CALCULATOR OFFICE POWER TIP OP-31/15    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   92|  300129| CALCULATOR OFFICE POWER TIP OP-31/14    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   93|  300130| CALCULATOR OFFICE POWER TIP OP-31/16    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   94|  300131| CALCULATOR OFFICE POWER TIP OP-31/17    | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2584.68 |          0.00 |          0.00 |       2584.68 |
|   95|  300132| SISTEM DE MANAG.INFORM.MEDICAL LOC.PITES| bucati     | FOLOS.  |    1     |    0     |    0     |    1     |     162067.31 |          0.00 |          0.00 |     162067.31 |
|   96|  300133| LAPTOP SONY VAIO                        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3000.00 |          0.00 |          0.00 |       3000.00 |
|   97|  300134| LAPTOP SONY VAIO.                       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3000.00 |          0.00 |          0.00 |       3000.00 |
|   98|  300135| LAPTOP SONY VAIO/3                      | bucati     | FOLOS.  |    0     |    1     |    0     |    1     |          0.00 |       2999.00 |          0.00 |       2999.00 |
|   99|  620191| COPIATOR DEVELOP                        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2340.00 |          0.00 |          0.00 |       2340.00 |
|  100|  620500| COPIATOR MINOLATA EP 1054               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5380.00 |          0.00 |          0.00 |       5380.00 |
|  101|  640043| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.1  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  102|  640044| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.2  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  103|  640045| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.3  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  104|  640046| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.4  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  105|  640047| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.5  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  106|  640048| PISTOL CALIBRU 7.62 MM MODEL 1933       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  107|  640049| PSTOL CALIBRU 7.62 MM MODEL 1933 NR.7   | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  108|  640050| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.8  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  109|  640051| PISTOL CALIBRU 7.62 MM MODEL 1933 NR.9  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |          0.17 |          0.00 |          0.00 |          0.17 |
|  110|  640077| PISTOL CALIBRU 7.62 MM MODEL 1933 1     | bucati     | FOLOS.  |    34    |    34    |    34    |    34    |          5.78 |          5.78 |          5.78 |          5.78 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  11/02/2013

 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     3
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
