

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   208|     20320   |             |CALCULATOR CITIZEN 8873                 |10,  ,  |  ,  ,  |  ,  ,  |
|   209|     20321   |             |CALCULATOR CITIZEN 888                  |10,  ,  |  ,  ,  |  ,  ,  |
|   210|     20322   |             |PRELUNGITOR                             |10,  ,  |  ,  ,  |  ,  ,  |
|   211|     20323   |             |VITRINE BOXE SMARD.190/54/85            |10,  ,  |  ,  ,  |  ,  ,  |
|   212|     20324   |             |MESE MOZAICATE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   213|     20326   |             |VITRINA EXPUNERE MARFA                  |10,  ,  |  ,  ,  |  ,  ,  |
|   214|     20327   |             |GALANTARE ALUMINIU                      |10,  ,  |  ,  ,  |  ,  ,  |
|   215|     20328   |             |CALCULATOR CITIZEN CT 7OO               |10,  ,  |  ,  ,  |  ,  ,  |
|   216|     20330   |             |TELEFON PANASONIC 2261                  |10,  ,  |  ,  ,  |  ,  ,  |
|   217|     20331   |             |TELEFONIC PANASONIC 2315                |10,  ,  |  ,  ,  |  ,  ,  |
|   218|     20332   |             |SALTELE 1 PERS                          |10,  ,  |  ,  ,  |  ,  ,  |
|   219|     20333   |             |BOILER 50                               |10,  ,  |  ,  ,  |  ,  ,  |
|   220|     20334   |             |ANTENA MAGNET CU CONECTOR               |10,  ,  |  ,  ,  |  ,  ,  |
|   221|     20335   |             |TABLOU ELECTRIC                         |10,  ,  |  ,  ,  |  ,  ,  |
|   222|     20336   |             |SCARA LOEMN                             |10,  ,  |  ,  ,  |  ,  ,  |
|   223|     20338   |             |PATURI STEJAR                           |10,  ,  |  ,  ,  |  ,  ,  |
|   224|     20339   |             |LAVOAR                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   225|     20342   |             |DRISCA                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   226|     20343   |             |CENTURI SIGURANTA                       |10,  ,  |  ,  ,  |  ,  ,  |
|   227|     20344   |             |BOILER 6O L                             |10,  ,  |  ,  ,  |  ,  ,  |
|   228|     20345   |             |REZERVOR WC                             |10,  ,  |  ,  ,  |  ,  ,  |
|   229|     20346   |             |BOILER 15 L                             |10,  ,  |  ,  ,  |  ,  ,  |
|   230|     20347   |             |PELERINE PLOAIE                         |10,  ,  |  ,  ,  |  ,  ,  |
|   231|     20348   |             |STINGATOARE P5-CO2                      |10,  ,  |  ,  ,  |  ,  ,  |
|   232|     20349   |             |MESE MOZAICATE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   233|     20352   |             |SUPORTI-COLOP STAMP.4926 PRET           |10,  ,  |  ,  ,  |  ,  ,  |
|   234|     20353   |             |AMPRENTE PRET STAMP                     |10,  ,  |  ,  ,  |  ,  ,  |
|   235|     20355   |             |VITRINE TIP GALANTARE                   |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          5
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   236|     20356   |             |SCRUMIERE                               |10,  ,  |  ,  ,  |  ,  ,  |
|   237|     20357   |             |CANI APA                                |10,  ,  |  ,  ,  |  ,  ,  |
|   238|     20358   |             |PAHARE                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   239|     20359   |             |TOMBEROANE GUNOI                        |10,  ,  |  ,  ,  |  ,  ,  |
|   240|     20360   |             |FURTUN DESF CANAL                       |10,  ,  |  ,  ,  |  ,  ,  |
|   241|     20361   |             |HIDRANTI                                |10,  ,  |  ,  ,  |  ,  ,  |
|   242|     20362   |             |CALORIFER ZASS 12 EL.                   |10,  ,  |  ,  ,  |  ,  ,  |
|   243|     20363   |             |BALANTA SEMIAUTOMATA                    |10,  ,  |  ,  ,  |  ,  ,  |
|   244|     20364   |             |TELEVIZOR GOLDSTAR                      |10,  ,  |  ,  ,  |  ,  ,  |
|   245|     20365   |             |DUBLU RADIO CASET MEKOSONIC             |10,  ,  |  ,  ,  |  ,  ,  |
|   246|     20366   |             |COS GUNOI                               |10,  ,  |  ,  ,  |  ,  ,  |
|   247|     20367   |             |CALORIFER EL. 9 EL.WHIRLPOOL            |10,  ,  |  ,  ,  |  ,  ,  |
|   248|     20368   |             |CALORIFER EL.7 EL.WHIRLPOOL             |10,  ,  |  ,  ,  |  ,  ,  |
|   249|     20369   |             |CALORIFER 12 EL.WHIRLPOOL               |10,  ,  |  ,  ,  |  ,  ,  |
|   250|     20370   |             |GHETE PIELE                             |10,  ,  |  ,  ,  |  ,  ,  |
