                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|   76| STIPLEXURI INSCRIPT                      |   20028|   buc    |  NOU  |      80791.17 |      6.000|        484747 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   77| STIPLEXURI INSCRIPT                      |   20028|   buc    |  NOU  |      80791.33 |      3.000|        242374 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|   78| RAFT METALIC CINTARE                     |   20034|   buc    |  NOU  |      54272.00 |      1.000|         54272 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   79| RAFT METALIC CINTARE                     |   20034|   buc    |  NOU  |      54272.00 |      1.000|         54272 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|   80| RAFT METALIC CINTARE                     |   20034|   buc    |  NOU  |      54272.00 |      1.000|         54272 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|   81| RAFT METALIC CINTARE                     |   20034|   buc    |  NOU  |      54271.50 |      2.000|        108543 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   82| RAFT METALIC CINTARE                     |   20034|   buc    |  NOU  |      54272.00 |      1.000|         54272 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|   83| RAFT METALIC CINTARE                     |   20034|   buc    |  NOU  |      54272.00 |      1.000|         54272 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|   84| SCAUN KG 212                             |   20035|   buc    |  NOU  |      60682.00 |      2.000|        121364 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   85| SCAUN KG 212                             |   20035|   buc    |  NOU  |      60681.75 |      4.000|        242727 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|   86| SCAUN KG 212                             |   20035|   buc    |  NOU  |      60681.80 |      5.000|        303409 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|   87| SCAUN KG 212                             |   20035|   buc    |  NOU  |      60682.00 |      2.000|        121364 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
